"","Name","Event","Year","Date","Elo"
"37099","Paul McBeth","Aussie",2017,2017-01-26,1932
"37202","Eagle McMahon","Aussie",2017,2017-01-26,1799
"37206","Richard Wysocki","Aussie",2017,2017-01-26,1915
"37635","Simon Lizotte","LVC",2017,2017-02-23,1810
"37658","Nikko Locastro","LVC",2017,2017-02-23,1855
"37683","James Conrad","LVC",2017,2017-02-23,1720
"37751","Paul McBeth","LVC",2017,2017-02-23,1941
"37819","Jeremy Koling","LVC",2017,2017-02-23,1834
"37854","Eagle McMahon","LVC",2017,2017-02-23,1815
"37858","Richard Wysocki","LVC",2017,2017-02-23,1922
"37957","Drew Gibson","LVC",2017,2017-02-23,1803
"38017","Eric Oakley","LVC",2017,2017-02-23,1673
"38203","Joel Freeman","LVC",2017,2017-02-23,1653
"38287","Simon Lizotte","Memorial",2017,2017-03-01,1830
"38310","Nikko Locastro","Memorial",2017,2017-03-01,1868
"38335","James Conrad","Memorial",2017,2017-03-01,1736
"38340","Matthew Orum","Memorial",2017,2017-03-01,1791
"38403","Paul McBeth","Memorial",2017,2017-03-01,1949
"38471","Jeremy Koling","Memorial",2017,2017-03-01,1870
"38506","Eagle McMahon","Memorial",2017,2017-03-01,1830
"38510","Richard Wysocki","Memorial",2017,2017-03-01,1930
"38609","Drew Gibson","Memorial",2017,2017-03-01,1833
"38669","Eric Oakley","Memorial",2017,2017-03-01,1694
"38855","Joel Freeman","Memorial",2017,2017-03-01,1674
"38939","Simon Lizotte","Jonesboro",2017,2017-04-13,1850
"38962","Nikko Locastro","Jonesboro",2017,2017-04-13,1881
"38987","James Conrad","Jonesboro",2017,2017-04-13,1765
"39123","Jeremy Koling","Jonesboro",2017,2017-04-13,1871
"39162","Richard Wysocki","Jonesboro",2017,2017-04-13,1936
"39261","Drew Gibson","Jonesboro",2017,2017-04-13,1840
"39321","Eric Oakley","Jonesboro",2017,2017-04-13,1727
"39439","Chris Dickerson","Jonesboro",2017,2017-04-13,1766
"39451","Andrew Presnell","Jonesboro",2017,2017-04-13,1639
"39591","Simon Lizotte","DDO",2017,2017-04-27,1857
"39614","Nikko Locastro","DDO",2017,2017-04-27,1881
"39639","James Conrad","DDO",2017,2017-04-27,1775
"39644","Matthew Orum","DDO",2017,2017-04-27,1800
"39707","Paul McBeth","DDO",2017,2017-04-27,1956
"39775","Jeremy Koling","DDO",2017,2017-04-27,1881
"39810","Eagle McMahon","DDO",2017,2017-04-27,1831
"39814","Richard Wysocki","DDO",2017,2017-04-27,1950
"39891","Calvin Heimburg","DDO",2017,2017-04-27,1667
"39913","Drew Gibson","DDO",2017,2017-04-27,1841
"39933","Chris Clemons","DDO",2017,2017-04-27,1679
"39973","Eric Oakley","DDO",2017,2017-04-27,1734
"40103","Andrew Presnell","DDO",2017,2017-04-27,1659
"40159","Joel Freeman","DDO",2017,2017-04-27,1689
"40266","Nikko Locastro","Masters Cup",2017,2017-05-19,1875
"40359","Paul McBeth","Masters Cup",2017,2017-05-19,1964
"40427","Jeremy Koling","Masters Cup",2017,2017-05-19,1884
"40466","Richard Wysocki","Masters Cup",2017,2017-05-19,1954
"40565","Drew Gibson","Masters Cup",2017,2017-05-19,1846
"40625","Eric Oakley","Masters Cup",2017,2017-05-19,1739
"41011","Paul McBeth","Beaver",2017,2017-06-09,1967
"41114","Eagle McMahon","Beaver",2017,2017-06-09,1846
"41118","Richard Wysocki","Beaver",2017,2017-06-09,1963
"41195","Calvin Heimburg","Beaver",2017,2017-06-09,1687
"41277","Eric Oakley","Beaver",2017,2017-06-09,1746
"41547","Simon Lizotte","World",2017,2017-06-21,1870
"41570","Nikko Locastro","World",2017,2017-06-21,1880
"41595","James Conrad","World",2017,2017-06-21,1789
"41600","Matthew Orum","World",2017,2017-06-21,1813
"41663","Paul McBeth","World",2017,2017-06-21,1974
"41731","Jeremy Koling","World",2017,2017-06-21,1890
"41766","Eagle McMahon","World",2017,2017-06-21,1849
"41770","Richard Wysocki","World",2017,2017-06-21,1973
"41847","Calvin Heimburg","World",2017,2017-06-21,1728
"41869","Drew Gibson","World",2017,2017-06-21,1850
"41889","Chris Clemons","World",2017,2017-06-21,1718
"42047","Chris Dickerson","World",2017,2017-06-21,1791
"42199","Simon Lizotte","European Open",2017,2017-07-20,1874
"42315","Paul McBeth","European Open",2017,2017-07-20,1979
"42383","Jeremy Koling","European Open",2017,2017-07-20,1879
"42418","Eagle McMahon","European Open",2017,2017-07-20,1860
"42422","Richard Wysocki","European Open",2017,2017-07-20,1976
"42851","Simon Lizotte","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1891
"42874","Nikko Locastro","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1875
"42899","James Conrad","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1812
"42967","Paul McBeth","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1989
"43035","Jeremy Koling","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1893
"43070","Eagle McMahon","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1869
"43074","Richard Wysocki","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1979
"43136","Corey Ellis","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1561
"43173","Drew Gibson","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1851
"43233","Eric Oakley","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1757
"43351","Chris Dickerson","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1811
"43363","Andrew Presnell","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1692
"43480","Thomas Gilbert","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1531
"43503","Simon Lizotte","USDGC",2017,2017-10-04,1896
"43526","Nikko Locastro","USDGC",2017,2017-10-04,1844
"43551","James Conrad","USDGC",2017,2017-10-04,1816
"43619","Paul McBeth","USDGC",2017,2017-10-04,1999
"43687","Jeremy Koling","USDGC",2017,2017-10-04,1893
"43722","Eagle McMahon","USDGC",2017,2017-10-04,1878
"43726","Richard Wysocki","USDGC",2017,2017-10-04,1989
"43764","Kevin Jones","USDGC",2017,2017-10-04,1690
"43825","Drew Gibson","USDGC",2017,2017-10-04,1857
"43845","Chris Clemons","USDGC",2017,2017-10-04,1755
"43885","Eric Oakley","USDGC",2017,2017-10-04,1775
