"","Name","Event","Year","Date","Elo","dElo"
"218","Kona Star Panis","Memorial",2018,2018-02-28,1537,10
"220","Paige Pierce","Memorial",2018,2018-02-28,1614,56
"225","Lisa Fajkus","Memorial",2018,2018-02-28,1579,43
"226","Rebecca Cox","Memorial",2018,2018-02-28,1532,31
"231","Sarah Hokom","Memorial",2018,2018-02-28,1577,24
"250","Catrina Allen","Memorial",2018,2018-02-28,1579,31
"261","Jessica Weese","Memorial",2018,2018-02-28,1577,52
"287","Madison Walker","Memorial",2018,2018-02-28,1555,23
"415","Paige Pierce","Waco",2018,2018-03-15,1642,29
"420","Lisa Fajkus","Waco",2018,2018-03-15,1602,23
"421","Rebecca Cox","Waco",2018,2018-03-15,1562,30
"426","Sarah Hokom","Waco",2018,2018-03-15,1609,32
"445","Catrina Allen","Waco",2018,2018-03-15,1593,14
"456","Jessica Weese","Waco",2018,2018-03-15,1595,18
"803","Kona Star Panis","Jonesboro",2018,2018-04-06,1578,41
"805","Paige Pierce","Jonesboro",2018,2018-04-06,1672,30
"810","Lisa Fajkus","Jonesboro",2018,2018-04-06,1611,9
"811","Rebecca Cox","Jonesboro",2018,2018-04-06,1585,23
"816","Sarah Hokom","Jonesboro",2018,2018-04-06,1636,27
"835","Catrina Allen","Jonesboro",2018,2018-04-06,1618,25
"846","Jessica Weese","Jonesboro",2018,2018-04-06,1609,14
"872","Madison Walker","Jonesboro",2018,2018-04-06,1596,41
"1388","Kona Star Panis","DDO",2018,2018-04-26,1593,15
"1390","Paige Pierce","DDO",2018,2018-04-26,1691,19
"1395","Lisa Fajkus","DDO",2018,2018-04-26,1637,26
"1396","Rebecca Cox","DDO",2018,2018-04-26,1590,5
"1401","Sarah Hokom","DDO",2018,2018-04-26,1656,21
"1420","Catrina Allen","DDO",2018,2018-04-26,1621,4
"1431","Jessica Weese","DDO",2018,2018-04-26,1627,19
"1457","Madison Walker","DDO",2018,2018-04-26,1609,13
"1778","Kona Star Panis","Masters Cup",2018,2018-05-18,1608,15
"1780","Paige Pierce","Masters Cup",2018,2018-05-18,1716,25
"1785","Lisa Fajkus","Masters Cup",2018,2018-05-18,1658,21
"1791","Sarah Hokom","Masters Cup",2018,2018-05-18,1667,11
"1810","Catrina Allen","Masters Cup",2018,2018-05-18,1645,24
"1821","Jessica Weese","Masters Cup",2018,2018-05-18,1633,6
"1847","Madison Walker","Masters Cup",2018,2018-05-18,1633,24
"1973","Kona Star Panis","San Francisco",2018,2018-05-25,1617,9
"1975","Paige Pierce","San Francisco",2018,2018-05-25,1730,14
"1980","Lisa Fajkus","San Francisco",2018,2018-05-25,1666,8
"1986","Sarah Hokom","San Francisco",2018,2018-05-25,1695,28
"2005","Catrina Allen","San Francisco",2018,2018-05-25,1666,21
"2016","Jessica Weese","San Francisco",2018,2018-05-25,1665,32
"2042","Madison Walker","San Francisco",2018,2018-05-25,1649,16
"2363","Kona Star Panis","Beaver",2018,2018-06-08,1625,8
"2365","Paige Pierce","Beaver",2018,2018-06-08,1752,22
"2370","Lisa Fajkus","Beaver",2018,2018-06-08,1676,10
"2376","Sarah Hokom","Beaver",2018,2018-06-08,1705,10
"2395","Catrina Allen","Beaver",2018,2018-06-08,1696,30
"2406","Jessica Weese","Beaver",2018,2018-06-08,1657,-8
"2432","Madison Walker","Beaver",2018,2018-06-08,1646,-3
"2680","Kristin Tattar","Alutaguse",2018,2018-06-15,1559,50
"2841","Eveliina Salonen","Sula",2018,2018-06-22,1583,46
"2875","Kristin Tattar","Sula",2018,2018-06-22,1585,26
"2948","Kona Star Panis","Utah",2018,2018-06-22,1646,21
"2955","Lisa Fajkus","Utah",2018,2018-06-22,1696,20
"2980","Catrina Allen","Utah",2018,2018-06-22,1719,23
"2991","Jessica Weese","Utah",2018,2018-06-22,1690,33
"3145","Paige Pierce","Skellefte�",2018,2018-07-06,1764,12
"3175","Catrina Allen","Skellefte�",2018,2018-07-06,1735,16
"3211","Henna Blomroos","Skellefte�",2018,2018-07-06,1588,40
"3231","Eveliina Salonen","Skellefte�",2018,2018-07-06,1618,36
"3265","Kristin Tattar","Skellefte�",2018,2018-07-06,1620,35
"3346","Rebecca Cox","DGLO",2018,2018-07-06,1612,22
"3351","Sarah Hokom","DGLO",2018,2018-07-06,1724,18
"3381","Jessica Weese","DGLO",2018,2018-07-06,1704,14
