"","Name","Elo"
"195385","Richard Wysocki",2096
"196784","Paul McBeth",2073
"195429","Calvin Heimburg",2071
"195522","Chris Dickerson",2038
"195303","James Conrad",2029
"198922","Simon Lizotte",2026
"195400","Kevin Jones",2024
"195607","Gannon Buhr",2021
"195384","Eagle McMahon",2019
"195487","Adam Hammes",2018
"195688","Kyle Klein",2013
"197020","Joel Freeman",2010
"198057","Ezra Aderhold",2007
"195301","Garrett Gurthie",1996
"195298","Nikko Locastro",1994
"195438","Drew Gibson",1992
"195450","Chris Clemons",1991
"197484","Matthew Orum",1982
"206240","Bradley Williams",1981
"195692","Thomas Gilbert",1978
"206507","Albert Tamm",1977
"201949","Corey Ellis",1976
"203357","Aaron Gossage",1975
"202098","Austin Hannum",1973
"200672","Mason Ford",1973
