"","Name","Elo","dElo"
"23737","Kristin Tattar",1873.6,9.7
"23668","Paige Pierce",1853.5,2.1
"23685","Catrina Allen",1844.1,12.8
"23766","Missy Gannon",1840.7,8.3
"23688","Ohn Scoggins",1827.4,3.2
"23705","Henna Blomroos",1826.1,13.4
"23719","Eveliina Salonen",1825.4,7.8
"23677","Sarah Hokom",1807.8,8.7
"24189","Valerie Mandujano",1801.7,-10.7
"23858","Ella Hansen",1794.5,7.4
"23783","Kat Mertsch",1789.1,4.3
"23750","Hailey King",1780.2,16.8
"24744","Macie Velediaz",1773.7,8.4
"30719","Natalie Ryan",1773.4,15.4
"30505","Holyn Handley",1767.8,15.9
"23691","Jessica Weese",1763.7,3.8
"23660","Jennifer Allen",1757.2,16.2
"23671","Lisa Fajkus",1752.5,-2.2
"29418","Madison Walker",1752.4,5.4
"24190","Alexis Mandujano",1752.3,5.9
"30625","Deann Carey",1750.7,2.5
"31338","Heidi Laine",1744.6,13.9
"31050","Rebecca Cox",1743.5,5.8
"23715","Maria Oliva",1742.7,1.5
"27229","Juliana Korver",1739.3,9.3
