"","Players","Win_Prob","Elo"
"1","Richard Wysocki",21.4,1876.5
"2","Paul McBeth",17.7,1861.1
"3","Calvin Heimburg",13,1846.3
"4","Chris Dickerson",10.2,1841.9
"5","Kevin Jones",2.4,1824.9
"6","Kyle Klein",4.2,1819.5
"7","Gannon Buhr",0,1815.9
"8","James Conrad",2.6,1812
"9","Matthew Orum",0,1811.6
"10","Joel Freeman",0,1808.5
"11","Chris Clemons",0,1805.5
"12","Simon Lizotte",7.6,1802.2
"13","Drew Gibson",3.3,1799.1
"14","Corey Ellis",0,1788.7
"15","Ezra Aderhold",0,1784.9
"16","Adam Hammes",5.8,1784.8
"17","Garrett Gurthie",0,1777.6
"18","Bradley Williams",4.4,1776.2
"19","Andrew Presnell",0,1773.8
"20","Alden Harris",0,1773.6
"21","Andrew Marwede",0,1773.1
"22","Mason Ford",7.5,1771.8
