"","Players","Win_Prob","Elo"
"1","Catrina Allen","9.2",1844.1
"2","Missy Gannon","8.8",1840.7
"3","Ohn Scoggins","7.6",1827.4
"4","Henna Blomroos","7.5",1826.1
"5","Eveliina Salonen","7.5",1825.4
"6","Sarah Hokom","6.1",1807.8
"7","Valerie Mandujano","5.6",1801.7
"8","Ella Hansen","5.1",1794.5
"9","Kat Mertsch","4.8",1789.1
"10","Hailey King","4.3",1780.2
"11","Macie Velediaz","3.9",1773.7
"12","Holyn Handley","3.6",1767.8
"13","Jessica Weese","3.4",1763.7
"14","Jennifer Allen","3.1",1757.2
"15","Lisa Fajkus","2.9",1752.5
"16","Madison Walker","2.9",1752.4
"17","Alexis Mandujano","2.9",1752.3
"18","Deann Carey","2.9",1750.7
"19","Rebecca Cox","2.6",1743.5
"20","Maria Oliva","2.6",1742.7
"21","Juliana Korver","2.4",1739.3
