"","Name","Event","Year","Date","Elo","dElo"
"207","Jennifer Allen","Memorial",2018,2018-02-28,1535.2,11.8
"218","Kona Star Panis","Memorial",2018,2018-02-28,1517,3.1
"220","Paige Pierce","Memorial",2018,2018-02-28,1561.6,32.3
"225","Lisa Fajkus","Memorial",2018,2018-02-28,1540.2,21.7
"226","Rebecca Cox","Memorial",2018,2018-02-28,1508.5,8.2
"231","Sarah Hokom","Memorial",2018,2018-02-28,1540.6,13.5
"250","Catrina Allen","Memorial",2018,2018-02-28,1542.1,17.7
"261","Jessica Weese","Memorial",2018,2018-02-28,1536.2,23
"287","Madison Walker","Memorial",2018,2018-02-28,1528.3,12.3
"415","Paige Pierce","Waco",2018,2018-03-15,1579.4,17.8
"420","Lisa Fajkus","Waco",2018,2018-03-15,1553.7,13.5
"421","Rebecca Cox","Waco",2018,2018-03-15,1524.5,16
"426","Sarah Hokom","Waco",2018,2018-03-15,1559.4,18.9
"445","Catrina Allen","Waco",2018,2018-03-15,1551.3,9.1
"456","Jessica Weese","Waco",2018,2018-03-15,1547.1,10.9
"792","Jennifer Allen","Jonesboro",2018,2018-04-06,1554.8,19.5
"803","Kona Star Panis","Jonesboro",2018,2018-04-06,1525.1,8
"805","Paige Pierce","Jonesboro",2018,2018-04-06,1598.2,18.8
"810","Lisa Fajkus","Jonesboro",2018,2018-04-06,1555.1,1.4
"811","Rebecca Cox","Jonesboro",2018,2018-04-06,1536.6,12.1
"816","Sarah Hokom","Jonesboro",2018,2018-04-06,1574.9,15.5
"835","Catrina Allen","Jonesboro",2018,2018-04-06,1563.8,12.5
"846","Jessica Weese","Jonesboro",2018,2018-04-06,1555.4,8.3
"872","Madison Walker","Jonesboro",2018,2018-04-06,1548.6,20.3
"1377","Jennifer Allen","DDO",2018,2018-04-26,1552.1,-2.7
"1388","Kona Star Panis","DDO",2018,2018-04-26,1535.5,10.4
"1390","Paige Pierce","DDO",2018,2018-04-26,1611.7,13.5
"1395","Lisa Fajkus","DDO",2018,2018-04-26,1572,16.9
"1396","Rebecca Cox","DDO",2018,2018-04-26,1535.9,-0.6
"1401","Sarah Hokom","DDO",2018,2018-04-26,1588.8,13.9
"1420","Catrina Allen","DDO",2018,2018-04-26,1563.6,-0.3
"1431","Jessica Weese","DDO",2018,2018-04-26,1568,12.6
"1457","Madison Walker","DDO",2018,2018-04-26,1556.8,8.2
"1767","Jennifer Allen","Masters Cup",2018,2018-05-18,1567,14.9
"1778","Kona Star Panis","Masters Cup",2018,2018-05-18,1545.7,10.2
"1780","Paige Pierce","Masters Cup",2018,2018-05-18,1628.3,16.6
"1785","Lisa Fajkus","Masters Cup",2018,2018-05-18,1585.9,13.9
"1791","Sarah Hokom","Masters Cup",2018,2018-05-18,1596.2,7.4
"1810","Catrina Allen","Masters Cup",2018,2018-05-18,1578.4,14.9
"1821","Jessica Weese","Masters Cup",2018,2018-05-18,1574.1,6.1
"1847","Madison Walker","Masters Cup",2018,2018-05-18,1570.7,14
"1973","Kona Star Panis","San Francisco",2018,2018-05-25,1552.3,6.7
"1975","Paige Pierce","San Francisco",2018,2018-05-25,1638.5,10.1
"1980","Lisa Fajkus","San Francisco",2018,2018-05-25,1592.6,6.7
"1986","Sarah Hokom","San Francisco",2018,2018-05-25,1613.8,17.6
"2005","Catrina Allen","San Francisco",2018,2018-05-25,1592.2,13.8
"2016","Jessica Weese","San Francisco",2018,2018-05-25,1588.2,14.1
"2042","Madison Walker","San Francisco",2018,2018-05-25,1581.2,10.5
"2363","Kona Star Panis","Beaver",2018,2018-06-08,1557.6,5.2
"2365","Paige Pierce","Beaver",2018,2018-06-08,1653.5,15.1
"2370","Lisa Fajkus","Beaver",2018,2018-06-08,1600.1,7.5
"2376","Sarah Hokom","Beaver",2018,2018-06-08,1622.5,8.7
"2395","Catrina Allen","Beaver",2018,2018-06-08,1610.5,18.2
"2406","Jessica Weese","Beaver",2018,2018-06-08,1580.9,-7.2
"2432","Madison Walker","Beaver",2018,2018-06-08,1572.2,-9
"2680","Kristin Tattar","Alutaguse",2018,2018-06-15,1528,23.8
"2841","Eveliina Salonen","Sula",2018,2018-06-22,1542.5,23.7
"2875","Kristin Tattar","Sula",2018,2018-06-22,1542.6,14.6
"2948","Kona Star Panis","Utah",2018,2018-06-22,1571,13.4
"2955","Lisa Fajkus","Utah",2018,2018-06-22,1611.8,11.8
"2980","Catrina Allen","Utah",2018,2018-06-22,1625.6,15.1
"2991","Jessica Weese","Utah",2018,2018-06-22,1596,15.1
"3145","Paige Pierce","Skellefte�",2018,2018-07-06,1663.2,9.6
"3175","Catrina Allen","Skellefte�",2018,2018-07-06,1637.4,11.9
"3211","Henna Blomroos","Skellefte�",2018,2018-07-06,1545,20.2
"3231","Eveliina Salonen","Skellefte�",2018,2018-07-06,1562.8,20.3
"3265","Kristin Tattar","Skellefte�",2018,2018-07-06,1563,20.4
"3346","Rebecca Cox","DGLO",2018,2018-07-06,1546.2,10.3
"3351","Sarah Hokom","DGLO",2018,2018-07-06,1635.4,12.9
"3381","Jessica Weese","DGLO",2018,2018-07-06,1604.8,8.7
"3407","Madison Walker","DGLO",2018,2018-07-06,1580.5,8.3
"3565","Catrina Allen","Konopiste",2018,2018-07-12,1646.5,9.1
"3601","Henna Blomroos","Konopiste",2018,2018-07-12,1572.3,27.3
"3621","Eveliina Salonen","Konopiste",2018,2018-07-12,1585.3,22.5
"3655","Kristin Tattar","Konopiste",2018,2018-07-12,1572.3,9.4
"3850","Kristin Tattar","Ale",2018,2018-07-20,1594.9,22.5
"3923","Kona Star Panis","Idlewild",2018,2018-07-20,1568.3,-2.7
"3925","Paige Pierce","Idlewild",2018,2018-07-20,1676.2,13
"3931","Rebecca Cox","Idlewild",2018,2018-07-20,1560.3,14.1
"3936","Sarah Hokom","Idlewild",2018,2018-07-20,1647.9,12.5
"3955","Catrina Allen","Idlewild",2018,2018-07-20,1640,-6.5
"3966","Jessica Weese","Idlewild",2018,2018-07-20,1611.4,6.6
"3992","Madison Walker","Idlewild",2018,2018-07-20,1586.3,5.8
"4075","Missy Gannon","Idlewild",2018,2018-07-20,1491.2,-1.9
"4118","Kona Star Panis","Ledgestone",2018,2018-08-09,1566.9,-1.4
"4120","Paige Pierce","Ledgestone",2018,2018-08-09,1679,2.8
"4125","Lisa Fajkus","Ledgestone",2018,2018-08-09,1619.5,7.7
"4126","Rebecca Cox","Ledgestone",2018,2018-08-09,1575,14.7
"4131","Sarah Hokom","Ledgestone",2018,2018-08-09,1661,13.1
"4150","Catrina Allen","Ledgestone",2018,2018-08-09,1649.2,9.2
"4161","Jessica Weese","Ledgestone",2018,2018-08-09,1630.9,19.5
"4187","Madison Walker","Ledgestone",2018,2018-08-09,1590.6,4.3
"4270","Missy Gannon","Ledgestone",2018,2018-08-09,1513.9,22.6
"4381","Henna Blomroos","European Disc Golf Championships",2018,2018-08-15,1596.8,24.5
"4401","Eveliina Salonen","European Disc Golf Championships",2018,2018-08-15,1607.8,22.5
"4435","Kristin Tattar","European Disc Golf Championships",2018,2018-08-15,1611.4,16.5
"4508","Kona Star Panis","MVP",2018,2018-08-24,1572.2,5.3
"4510","Paige Pierce","MVP",2018,2018-08-24,1683,3.9
"4515","Lisa Fajkus","MVP",2018,2018-08-24,1631.3,11.8
"4516","Rebecca Cox","MVP",2018,2018-08-24,1590.5,15.5
"4521","Sarah Hokom","MVP",2018,2018-08-24,1674.2,13.2
"4540","Catrina Allen","MVP",2018,2018-08-24,1654.6,5.4
"4551","Jessica Weese","MVP",2018,2018-08-24,1632.6,1.7
"4577","Madison Walker","MVP",2018,2018-08-24,1602.5,11.8
"4660","Missy Gannon","MVP",2018,2018-08-24,1526.1,12.3
"4771","Henna Blomroos","Nokia",2018,2018-09-05,1606.8,10
"4791","Eveliina Salonen","Nokia",2018,2018-09-05,1624.1,16.3
"4898","Kona Star Panis","World",2018,2018-09-05,1571.2,-1
"4900","Paige Pierce","World",2018,2018-09-05,1691,8
"4905","Lisa Fajkus","World",2018,2018-09-05,1638.8,7.5
"4906","Rebecca Cox","World",2018,2018-09-05,1606.5,16
"4911","Sarah Hokom","World",2018,2018-09-05,1682.6,8.4
"4930","Catrina Allen","World",2018,2018-09-05,1659.9,5.3
"4941","Jessica Weese","World",2018,2018-09-05,1642.8,10.2
"4967","Madison Walker","World",2018,2018-09-05,1613,10.5
"5020","Kristin Tattar","World",2018,2018-09-05,1619.9,8.6
"5041","Hailey King","World",2018,2018-09-05,1540.7,18.6
"5050","Missy Gannon","World",2018,2018-09-05,1537.5,11.4
"5093","Kona Star Panis","Delaware",2018,2018-09-14,1569.6,-1.6
"5106","Sarah Hokom","Delaware",2018,2018-09-14,1694.6,12
"5125","Catrina Allen","Delaware",2018,2018-09-14,1668.1,8.2
"5215","Kristin Tattar","Delaware",2018,2018-09-14,1634.3,14.3
"5290","Paige Pierce","USWDGC",2018,2018-09-21,1699.8,8.8
"5295","Lisa Fajkus","USWDGC",2018,2018-09-21,1637,-1.8
"5301","Sarah Hokom","USWDGC",2018,2018-09-21,1688.9,-5.7
"5320","Catrina Allen","USWDGC",2018,2018-09-21,1673.4,5.3
"5331","Jessica Weese","USWDGC",2018,2018-09-21,1636.4,-6.4
"5357","Madison Walker","USWDGC",2018,2018-09-21,1621.4,8.4
"5410","Kristin Tattar","USWDGC",2018,2018-09-21,1644,9.7
"5431","Hailey King","USWDGC",2018,2018-09-21,1553.6,12.9
"5440","Missy Gannon","USWDGC",2018,2018-09-21,1525.9,-11.6
"5483","Kona Star Panis","HOFC",2018,2018-10-12,1572,2.4
"5485","Paige Pierce","HOFC",2018,2018-10-12,1707.4,7.7
"5490","Lisa Fajkus","HOFC",2018,2018-10-12,1640.2,3.2
"5496","Sarah Hokom","HOFC",2018,2018-10-12,1695.6,6.8
"5515","Catrina Allen","HOFC",2018,2018-10-12,1687.9,14.5
"5526","Jessica Weese","HOFC",2018,2018-10-12,1638.9,2.5
"5552","Madison Walker","HOFC",2018,2018-10-12,1606.6,-14.7
"5635","Missy Gannon","HOFC",2018,2018-10-12,1522,-3.9
"5660","Jennifer Allen","LVC",2019,2019-02-21,1576.6,16.3
"5666","Kona Star Panis","LVC",2019,2019-02-21,1552.7,-12.1
"5667","Paige Pierce","LVC",2019,2019-02-21,1690,3.3
"5672","Lisa Fajkus","LVC",2019,2019-02-21,1626.2,0
"5673","Rebecca Cox","LVC",2019,2019-02-21,1594.9,-0.9
"5678","Sarah Hokom","LVC",2019,2019-02-21,1676,-0.1
"5693","Catrina Allen","LVC",2019,2019-02-21,1671.4,2.3
"5704","Jessica Weese","LVC",2019,2019-02-21,1633.5,8.5
"5727","Madison Walker","LVC",2019,2019-02-21,1600.2,4.2
"5743","Eveliina Salonen","LVC",2019,2019-02-21,1613.5,1.8
"5848","Jennifer Allen","Memorial",2019,2019-02-28,1587.8,11.2
"5854","Kona Star Panis","Memorial",2019,2019-02-28,1552.4,-0.4
"5855","Paige Pierce","Memorial",2019,2019-02-28,1702.1,12.1
"5860","Lisa Fajkus","Memorial",2019,2019-02-28,1626.7,0.5
"5861","Rebecca Cox","Memorial",2019,2019-02-28,1610.5,15.6
"5866","Sarah Hokom","Memorial",2019,2019-02-28,1681.1,5.2
"5881","Catrina Allen","Memorial",2019,2019-02-28,1680.3,8.9
"5892","Jessica Weese","Memorial",2019,2019-02-28,1648,14.5
"5915","Madison Walker","Memorial",2019,2019-02-28,1603.7,3.5
"5931","Eveliina Salonen","Memorial",2019,2019-02-28,1639.1,25.6
"5989","Hailey King","Memorial",2019,2019-02-28,1555.2,6.9
"5998","Missy Gannon","Memorial",2019,2019-02-28,1538.4,18.6
"6042","Kona Star Panis","Waco",2019,2019-03-14,1562.6,10.3
"6043","Paige Pierce","Waco",2019,2019-03-14,1711,8.9
"6048","Lisa Fajkus","Waco",2019,2019-03-14,1634.7,8
"6049","Rebecca Cox","Waco",2019,2019-03-14,1623.4,12.9
"6054","Sarah Hokom","Waco",2019,2019-03-14,1689.3,8.2
"6069","Catrina Allen","Waco",2019,2019-03-14,1693.4,13.1
"6080","Jessica Weese","Waco",2019,2019-03-14,1653.9,6
"6113","Alexis Mandujano","Waco",2019,2019-03-14,1505.1,5.1
"6224","Jennifer Allen","Jonesboro",2019,2019-04-12,1592.5,4.8
"6230","Kona Star Panis","Jonesboro",2019,2019-04-12,1563.8,1.2
"6231","Paige Pierce","Jonesboro",2019,2019-04-12,1720.5,9.5
