"","Name","Elo"
"196954","Richard Wysocki",2105
"198561","Paul McBeth",2096
"197007","Calvin Heimburg",2079
"197109","Chris Dickerson",2059
"196868","James Conrad",2045
"196953","Eagle McMahon",2041
"201014","Simon Lizotte",2038
"197200","Gannon Buhr",2032
"196971","Kevin Jones",2030
"197289","Kyle Klein",2030
"197070","Adam Hammes",2028
"198821","Joel Freeman",2017
"196864","Garrett Gurthie",2014
"199999","Ezra Aderhold",2012
"197030","Chris Clemons",2011
"196861","Nikko Locastro",2001
"199367","Matthew Orum",2000
"209397","Bradley Williams",1999
"197018","Drew Gibson",1996
"210240","Jeremy Koling",1992
"206144","Corey Ellis",1990
"210429","Andrew Presnell",1982
"210677","Alden Harris",1980
"197294","Thomas Gilbert",1975
"212025","Eric Oakley",1975
