"","Players","Win_Prob","Elo"
"1","Paul McBeth","10.9",1890
"2","Richard Wysocki","10.7",1888.5
"3","Calvin Heimburg","7.7",1867.8
"4","Gannon Buhr","6.9",1861.5
"5","Kyle Klein","6",1852.8
"6","Matthew Orum","5.8",1851.3
"7","Joel Freeman","4.8",1840.2
"8","James Conrad","4.1",1832.2
"9","Kevin Jones","4.1",1831.2
"10","Chris Clemons","3.4",1822.2
"11","Eagle McMahon","3.3",1819.2
"12","Simon Lizotte","3.2",1818.5
"13","Corey Ellis","3.2",1817.8
"14","Bradley Williams","3",1814
"15","Ezra Aderhold","2.8",1811.4
"16","Isaac Robinson","2.7",1808.4
"17","Alden Harris","2.6",1807.8
"18","Nikko Locastro","2.6",1806.7
"19","Andrew Marwede","2.5",1806.1
"20","Andrew Presnell","2.5",1804.8
"21","Adam Hammes","2.5",1804.5
"22","Anthony Barela","2.4",1803.7
"23","Väinö Mäkelä","2.3",1801.5
