"","Players","Win_Prob","Elo"
"1","Paige Pierce","10.3",1846.7
"2","Catrina Allen","9.7",1840.2
"3","Kristin Tattar","8.6",1829.7
"4","Missy Gannon","7.3",1814.6
"5","Ohn Scoggins","5.4",1791.6
"6","Sarah Hokom","5.3",1790
"7","Eveliina Salonen","5.3",1789.6
"8","Valerie Mandujano","5",1784.8
"9","Henna Blomroos","4.2",1772.7
"10","Kat Mertsch","3.6",1760.7
"11","Hailey King","3.4",1756.7
"12","Ella Hansen","3.3",1755.5
"13","Alexis Mandujano","2.9",1745.7
"14","Lisa Fajkus","2.7",1742.4
"15","Macie Velediaz","2.7",1740.8
"16","Jessica Weese","2.6",1739.7
"17","Maria Oliva","2.2",1729.1
"18","Madison Walker","2.2",1727.3
"19","Rebecca Cox","2.1",1726.5
"20","Kona Star Panis","1.9",1719.7
"21","Juliana Korver","1.9",1719.7
"22","Heidi Laine","1.9",1718.8
"23","Heather Young","1.9",1718.4
"24","Emily Beach","1.8",1714.7
"25","Jennifer Allen","1.8",1713.7
